hisse,fiyat,rsi,macd_signal,ema20,ema50,ema200,adx,atr_pct,volume_ratio,fk,pddd,roe,net_borc_favok,haber_puani,kurumsal_puani,piyasa_rejimi
THYAO,295.50,61,0.5,289,280,260,26,1.8,1.6,7,1.2,25,1.5,9,9,8
SASA,4.87,63,0.015,4.75,4.60,4.20,29,2.1,1.9,8,1.0,22,1.0,8,8,8
EREGL,58.20,58,0.2,57,55,50,27,2.0,1.5,6,0.9,20,0.5,8,8,8
TUPRS,168.90,55,0.1,166,167,155,24,1.5,1.3,9,1.5,20,2.0,7,7,7
KCHOL,178.40,52,0.05,175,176,165,22,1.8,1.2,10,1.3,21,1.8,6,7,7
FROTO,920.00,57,0.05,905,910,880,21,2.1,1.4,11,1.6,17,1.2,7,9,7
ASELS,62.35,54,0.02,61,61.5,58,23,1.6,1.3,12,1.7,16,1.5,7,8,8
YKBNK,38.60,45,-0.02,39,38.5,40,17,1.4,0.9,14,1.9,10,2.5,4,5,6
SISE,42.10,42,-0.01,42.5,43,44,16,1.6,0.8,13,1.8,11,2.2,4,4,6
BIMAS,545.00,38,-0.5,550,560,570,14,1.3,0.7,16,2.6,8,3.0,4,5,5
PGSUS,265.00,48,-0.1,267,270,260,18,2.8,1.0,13,1.9,9,2.8,4,3,4
KRDMD,24.85,33,-0.3,25.5,26.5,27.5,13,3.6,0.6,-2,2.8,-5,4.5,2,3,4
